avg_gf,avg_ga,win_rate,form,goals_scored
1.0,1.0,0.0,0.333,0
2.0,6.0,0.0,0.0,2
0.0,2.0,0.0,0.0,1
0.0,2.0,0.0,0.0,3
2.0,0.0,1.0,1.0,1
2.0,0.0,1.0,1.0,1
6.0,2.0,1.0,1.0,0
1.0,1.0,0.0,0.333,0
0.0,0.0,0.0,0.333,0
1.0,4.0,0.0,0.0,1
0.0,0.0,0.0,0.333,2
2.0,1.0,1.0,1.0,0
4.0,1.0,1.0,1.0,2
0.0,0.0,0.0,0.333,1
1.0,2.0,0.0,0.0,2
0.0,0.0,0.0,0.333,0
2.0,1.0,1.0,1.0,0
0.0,7.0,0.0,0.0,1
1.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.333,2
0.0,0.0,0.0,0.333,4
0.0,1.0,0.0,0.0,1
7.0,0.0,1.0,1.0,1
1.0,2.0,0.0,0.0,1
0.0,1.0,0.0,0.0,3
0.0,2.0,0.0,0.0,3
0.0,0.0,0.0,0.333,2
2.0,3.0,0.0,0.0,3
2.0,0.0,1.0,1.0,1
1.0,0.0,1.0,1.0,0
3.0,2.0,1.0,1.0,2
0.0,0.0,0.0,0.333,0
1.0,1.0,0.0,0.333,2
1.0,3.0,0.0,0.0,0
1.0,1.0,0.0,0.333,1
3.0,1.0,1.0,1.0,2
2.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.333,1
0.0,2.0,0.0,0.0,0
0.0,0.0,0.0,0.333,3
1.0,0.0,1.0,1.0,1
1.0,2.0,0.0,0.0,0
0.0,1.0,0.0,0.0,1
2.0,1.0,1.0,1.0,0
0.0,2.0,0.0,0.0,1
0.0,2.0,0.0,0.0,2
2.0,0.0,1.0,1.0,0
2.0,0.0,1.0,1.0,2
4.0,1.0,1.0,1.0,0
0.0,2.0,0.0,0.0,0
1.0,4.0,0.0,0.0,1
2.0,0.0,1.0,1.0,2
0.0,1.0,0.0,0.0,2
1.0,1.0,0.0,0.333,1
1.0,0.0,1.0,1.0,2
1.0,1.0,0.0,0.333,4
2.0,3.0,0.0,0.0,2
2.0,0.0,1.0,1.0,1
3.0,2.0,1.0,1.0,0
0.0,2.0,0.0,0.0,2
3.0,3.0,0.0,0.333,2
0.0,1.0,0.0,0.0,3
3.0,3.0,0.0,0.333,1
1.0,0.0,1.0,1.0,0
2.0,0.0,1.0,1.0,3
1.0,0.0,1.0,1.0,1
2.0,0.0,1.0,1.0,2
1.0,0.0,1.0,1.0,1
0.0,1.0,0.0,0.0,3
0.0,2.0,0.0,0.0,1
3.0,0.0,1.0,1.0,3
2.0,1.0,1.0,1.0,0
2.0,1.0,1.0,1.0,1
0.0,0.0,0.0,0.333,1
0.0,1.0,0.0,0.0,4
2.0,1.0,1.0,1.0,1
2.0,1.0,1.0,1.0,0
1.0,2.0,0.0,0.0,0
1.0,2.0,0.0,0.0,6
3.0,2.0,1.0,1.0,1
0.5,0.5,0.0,0.333,1
2.0,1.0,0.5,0.5,1
3.0,1.0,1.0,1.0,2
2.0,0.5,1.0,1.0,2
1.0,0.5,0.5,0.667,1
3.5,1.5,0.5,0.5,0
3.0,0.0,1.0,1.0,1
3.0,1.0,1.0,1.0,2
2.0,1.5,0.5,0.667,3
0.667,0.667,0.0,0.333,0
2.5,1.0,1.0,1.0,2
1.0,0.333,0.667,0.778,0
0.667,1.667,0.0,0.222,2
0.333,0.667,0.333,0.444,1
2.333,1.0,0.667,0.778,3
2.333,0.667,1.0,1.0,3
0.0,1.0,0.0,0.0,2
1.0,0.0,1.0,1.0,2
2.0,0.0,1.0,1.0,3
1.0,0.0,1.0,1.0,0
1.0,0.0,1.0,1.0,2
0.0,1.0,0.0,0.0,0
0.0,2.0,0.0,0.0,3
0.0,1.0,0.0,0.0,0
1.0,0.0,1.0,1.0,2
2.0,0.0,1.0,1.0,1
0.0,2.0,0.0,0.0,1
0.0,1.0,0.0,0.0,5
0.0,5.0,0.0,0.0,2
1.0,2.0,0.0,0.0,3
1.0,3.0,0.0,0.0,0
2.0,1.0,1.0,1.0,4
3.0,0.0,1.0,1.0,1
3.0,1.0,1.0,1.0,1
0.0,3.0,0.0,0.0,0
1.0,3.0,0.0,0.0,2
3.0,1.0,1.0,1.0,1
1.0,2.0,0.0,0.0,0
2.0,1.0,1.0,1.0,2
5.0,0.0,1.0,1.0,4
2.0,1.0,0.5,0.667,3
0.0,2.5,0.0,0.0,0
3.0,0.5,1.0,1.0,2
2.0,0.5,1.0,1.0,0
2.0,2.0,0.5,0.5,1
2.0,2.5,0.5,0.5,3
2.0,1.0,1.0,1.0,1
1.0,5.0,0.0,0.0,0
0.0,3.0,0.0,0.0,0
3.0,0.0,1.0,1.0,1
0.0,2.0,0.0,0.0,0
2.0,2.0,0.0,0.333,0
2.0,0.0,1.0,1.0,0
1.0,1.0,0.0,0.333,1
1.0,1.0,0.0,0.333,4
2.0,0.5,0.5,0.667,3
7.0,0.0,1.0,1.0,5
3.0,0.0,1.0,1.0,1
0.0,1.0,0.0,0.0,2
0.0,7.0,0.0,0.0,1
1.0,3.0,0.0,0.0,0
3.5,1.0,1.0,1.0,1
0.0,0.0,0.0,0.333,3
0.0,1.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
2.0,1.0,1.0,1.0,4
2.0,0.0,1.0,1.0,8
0.0,0.0,0.0,0.333,0
0.0,1.0,0.0,0.0,0
3.0,4.0,0.0,0.0,1
0.0,0.0,0.0,0.333,1
0.0,4.0,0.0,0.167,1
5.0,0.0,1.0,1.0,1
1.0,2.0,0.0,0.0,1
2.0,0.0,1.0,1.0,5
0.0,1.0,0.0,0.0,0
1.0,0.0,1.0,1.0,4
0.0,2.0,0.0,0.0,0
0.0,5.0,0.0,0.0,2
2.0,2.0,0.0,0.333,1
1.0,0.0,1.0,1.0,4
0.0,4.0,0.0,0.0,0
0.0,2.0,0.0,0.0,0
3.0,0.0,1.0,1.0,6
2.0,2.0,0.0,0.333,2
1.0,2.0,0.0,0.0,2
2.0,0.0,1.0,1.0,3
0.0,3.0,0.0,0.0,1
2.0,1.0,1.0,1.0,3
1.0,1.0,0.0,0.333,0
1.0,2.0,0.0,0.0,3
1.0,1.0,0.0,0.333,5
0.0,1.0,0.0,0.0,0
2.0,2.0,0.0,0.333,1
1.0,2.0,0.0,0.0,0
2.0,2.0,0.0,0.333,2
2.0,2.0,0.0,0.333,4
2.0,1.0,1.0,1.0,0
5.0,0.0,1.0,1.0,2
3.0,1.0,1.0,1.0,0
1.0,0.0,1.0,1.0,2
2.0,2.0,0.0,0.333,0
1.0,1.0,0.0,0.333,0
3.0,0.0,1.0,1.0,2
1.0,4.0,0.0,0.0,1
0.0,2.0,0.0,0.0,1
2.0,2.0,0.0,0.333,1
7.0,1.0,1.0,1.0,0
2.0,4.0,0.0,0.0,4
1.0,7.0,0.0,0.0,0
7.0,1.0,1.0,1.0,1
1.0,1.0,0.0,0.333,1
2.0,1.0,0.5,0.667,3
2.5,1.5,1.0,1.0,2
2.0,2.0,0.0,0.333,1
3.0,2.0,0.5,0.5,1
2.5,2.0,0.5,0.667,0
1.5,1.0,0.5,0.667,1
1.0,1.0,0.0,0.333,1
2.0,0.0,1.0,1.0,1
0.0,0.0,0.0,0.333,0
0.0,0.0,0.0,0.333,2
0.0,1.0,0.0,0.0,1
1.0,2.0,0.0,0.0,0
1.0,0.0,1.0,1.0,4
2.0,1.0,1.0,1.0,0
1.0,0.0,0.5,0.667,3
0.0,0.0,0.0,0.333,1
2.5,0.0,1.0,1.0,7
0.5,1.5,0.0,0.0,1
1.0,2.5,0.5,0.5,1
0.5,0.5,0.5,0.5,2
1.667,0.333,0.667,0.778,3
1.0,0.667,0.667,0.667,2
4.0,0.333,1.0,1.0,1
0.333,1.0,0.0,0.222,0
2.0,0.75,0.75,0.833,0
3.25,0.25,1.0,1.0,5
0.0,5.0,0.0,0.0,1
0.5,0.0,0.5,0.667,2
0.0,1.0,0.0,0.0,4
